Time (secs),A/C Tail Number,A/C Type,City Pair - To,City Pair - From,Flight Number,Date - Day,Date - Month,UTC - Hour,UTC - Minute,UTC - Second,Air / Gnd,Ground Speed,Computed Airspeed,Mach (derived),Pitch Angle,Roll Angle,Altitude (1013.25mB),Selected Baro Setting Capt,Present Pos - Latitude,Present Pos - Longitude,Magnetic Heading,True Heading,Fuel Flow Eng 1,Fuel Flow Eng 2,Actual Gross Weight,Total Air Temp,Drift Angle,Wind Direction True,Wind Speed,EGT Eng 1,EGT Eng 2,_EPR Actual Eng 1,_EPR Actual Eng 2,N1 Actual Eng 1,N1 Actual Eng 2,N2 Actual Eng 1,N2 Actual Eng 2,Throttle Angle Eng 1,Throttle Angle Eng 2,Pack 1 Flow Ctl Valve,Pack 2 Flow Ctl Valve,Gear (left),Land Gear Squat Switch - Nose,Flap Handle (derived),Flap Angle,Reverser Deployed Eng 1,Reverser Deployed Eng 2,Left Spoiler 1 Out,Right Spoiler 1 Out,Spoiler Pos LH 2,Spoiler Pos LH 4,Spoiler Pos LH 5,Spoiler Pos RH 2,Spoiler Pos RH 3,Spoiler Pos RH 5,Speed Brake Command
20.000,,*A319 (5),,*EDDT,*FIN4TB  ,*16,,*17,,,*G - Gnd (7),*5,*36.5,*0.06,* 0.00,*L 0.4,*76,,*N52 21.00,,*80.2,*82.2,*0,*346,,,,*256.6,*10,*119,*478,*0.000,*0.000,*2.0,*19.1,*0.0,*59.6,*-2.8,*-2.8,*F/CLSD (0),*F/CLSD (0),*Gear down - ground (3),*Gnd (1),*0.0,*0.0,*Normal (0),*Normal (0),*Not Out (0),*Not Out (0),* 0.0,* 0.0,* 0.0,* 0.0,* 0.0,* 0.0,*NOTCMD (0)
20.250,,,,,,,,,,,,,,,* 0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.500,,,,,,,,,,,,,,,* 0.00,*L 0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*Not Out (0),*Not Out (0),,,,,,,
20.750,,,,,,,,,,,,,,,* 0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.000,*.OH-LVL,,*EFHK,,,,*6,,,,*G - Gnd (7),*5,*36.5,,* 0.00,*L 0.4,*76,*1014,,,*79.8,*81.8,*0,*343,,*19.3,,,,*120,*479,*0.000,*0.000,*2.0,*19.4,*0.0,*59.6,*-2.8,*-2.8,,,*Gear down - ground (3),*Gnd (1),,,*Normal (0),*Normal (0),*Not Out (0),*Not Out (0),* 0.0,* 0.0,* 0.0,* 0.0,* 0.0,* 0.0,
21.250,,,,,,,,,,,,,,,* 0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.500,,,,,,,,,,,,,,,* 0.00,*L 0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*Not Out (0),*Not Out (0),,,,,,,
21.750,,,,,,,,,,,,,,,* 0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.000,,,,,,,,,,,*G - Gnd (7),*5,*42.3,,* 0.00,*L 0.4,*76,,,*E013 17.32,*79.5,*81.6,*0,*345,*55712,,*0.00,,,*120,*480,*0.000,*0.000,*2.0,*19.3,*0.9,*59.6,*-2.8,*-2.8,*F/CLSD (0),*F/CLSD (0),*Gear down - ground (3),*Gnd (1),*0.0,*0.0,*Normal (0),*Normal (0),*Not Out (0),*Not Out (0),* 0.0,* 0.0,* 0.0,* 0.0,* 0.0,* 0.0,
22.250,,,,,,,,,,,,,,,* 0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.500,,,,,,,,,,,,,,,* 0.00,*L 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*Not Out (0),*Not Out (0),,,,,,,
22.750,,,,,,,,,,,,,,,* 0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.000,,,,,,,,,*8,*50,*G - Gnd (7),*5,*39.3,,* 0.00,*L 0.7,*76,,,,*79.5,*81.5,*0,*346,,*19.3,,,,*120,*480,*0.000,*0.000,*2.1,*19.1,*2.6,*59.6,*-2.8,*-2.8,,,*Gear down - ground (3),*Gnd (1),,,*Normal (0),*Normal (0),*Not Out (0),*Not Out (0),* 0.0,* 0.0,* 0.0,* 0.0,* 0.0,* 0.0,
23.250,,,,,,,,,,,,,,,* 0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.500,,,,,,,,,,,,,,,* 0.00,*L 0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*Not Out (0),*Not Out (0),,,,,,,
23.750,,,,,,,,,,,,,,,* 0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.000,,*A319 (5),,*EDDT,*FIN4TB  ,*16,,*17,,,*G - Gnd (7),*5,*36.5,*0.06,* 0.00,*L 0.4,*76,,*N52 21.00,,*80.2,*82.2,*0,*346,,,,*256.6,*10,*119,*478,*0.000,*0.000,*2.0,*19.1,*0.0,*59.6,*-2.8,*-2.8,*F/CLSD (0),*F/CLSD (0),*Gear down - ground (3),*Gnd (1),*0.0,*0.0,*Normal (0),*Normal (0),*Not Out (0),*Not Out (0),* 0.0,* 0.0,* 0.0,* 0.0,* 0.0,* 0.0,*NOTCMD (0)
24.250,,,,,,,,,,,,,,,* 0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.500,,,,,,,,,,,,,,,* 0.00,*L 0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*Not Out (0),*Not Out (0),,,,,,,
24.750,,,,,,,,,,,,,,,* 0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.000,*.OH-LVL,,*EFHK,,,,*6,,,,*G - Gnd (7),*5,*36.5,,* 0.00,*L 0.4,*76,*1014,,,*79.8,*81.8,*0,*343,,*19.3,,,,*120,*479,*0.000,*0.000,*2.0,*19.4,*0.0,*59.6,*-2.8,*-2.8,,,*Gear down - ground (3),*Gnd (1),,,*Normal (0),*Normal (0),*Not Out (0),*Not Out (0),* 0.0,* 0.0,* 0.0,* 0.0,* 0.0,* 0.0,
25.250,,,,,,,,,,,,,,,* 0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.500,,,,,,,,,,,,,,,* 0.00,*L 0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*Not Out (0),*Not Out (0),,,,,,,
25.750,,,,,,,,,,,,,,,* 0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
